Action,Job1,P1,Job2,P2,Job3,P3,Job4,P4,reward
47,47,0.9959890842437744,20,0.003901208285242319,35,0.00010836162982741371,28,8.865346217135084e-07,0.6
20,20,0.9582703709602356,35,0.04046367481350899,28,0.0008298162138089538,38,0.0004060689825564623,0.8
35,35,0.9840064644813538,28,0.012391841039061546,38,0.003440609434619546,3,0.0001571259490447119,0.7
28,28,0.8876194953918457,3,0.05946464464068413,38,0.052891068160533905,26,6.515491350000957e-06,1.0
3,38,0.537106454372406,3,0.4616137742996216,29,0.0005906178266741335,26,0.0001962105161510408,1.0
38,38,0.989865779876709,29,0.007845794782042503,40,0.0007066334364935756,25,0.0004991519963368773,0.8
29,29,0.9986577033996582,26,0.0006568306125700474,25,0.0003339507384225726,40,0.0002565084141679108,0.8
26,26,0.9950950145721436,5,0.002264302922412753,25,0.0018850592896342278,40,0.000707822444383055,1.0
5,5,0.9895637631416321,25,0.005980785936117172,40,0.004281248897314072,15,0.00014482319238595665,1.0
25,25,0.9310327768325806,40,0.06711943447589874,15,0.001792348688468337,6,5.537670222111046e-05,0.9
40,40,0.9196454882621765,15,0.07914035022258759,6,0.0012109269155189395,44,2.9271959647303447e-06,0.8
15,15,0.9739261269569397,6,0.025787344202399254,44,0.00028614632901735604,48,2.0748640849888034e-07,1.0
6,6,0.9435843825340271,44,0.05639743059873581,21,7.6216942943574395e-06,48,5.445779606816359e-06,0.9
44,44,0.9986054301261902,48,0.0010409452952444553,21,0.00024872561334632337,16,0.00010117708734469488,1.0
48,48,0.9935286641120911,21,0.005771060939878225,16,0.000639266858343035,42,5.037339360569604e-05,1.0
21,21,0.9993681907653809,16,0.0004043466760776937,42,0.00022057238675188273,12,2.4844171093718614e-06,1.0
16,16,0.9957778453826904,42,0.0042036729864776134,46,8.618399078841321e-06,45,3.001913682965096e-06,1.0
42,42,0.9930906891822815,46,0.006835733540356159,45,2.811452213791199e-05,37,1.2272209460206795e-05,1.0
46,46,0.988430917263031,45,0.008681285195052624,37,0.0007753966492600739,31,0.0007653937791474164,0.9
45,45,0.9951606392860413,37,0.004074373748153448,12,0.0004224290605634451,4,0.0002693228889256716,0.8
37,37,0.996657133102417,11,0.002426662715151906,4,0.0005878499359823763,13,0.00017200829461216927,1.0
11,11,0.9948509931564331,4,0.004953574389219284,13,9.472287638345733e-05,8,3.3873027859954163e-05,0.5011753995101237
4,4,0.9963594675064087,13,0.003181778360158205,8,0.00021423192811198533,31,0.000144582983921282,0.9
13,13,0.9870257377624512,8,0.01091034896671772,31,0.00080852274550125,19,0.00046505132922902703,0.5057927555770971
8,8,0.9935842156410217,12,0.0034731074701994658,31,0.0013482923386618495,9,0.0013128744903951883,0.5055047320685232
12,12,0.9941182136535645,31,0.0044824788346886635,9,0.0011163412127643824,19,9.984725329559296e-05,0.5007457298307253
31,31,0.981977105140686,9,0.01707099936902523,19,0.000651796639431268,0,0.00010195959475822747,0.5008316098307514
9,9,0.9974731802940369,19,0.00206738687120378,10,0.0002556840190663934,23,9.224308450939134e-05,0.5001132234587875
19,19,0.9155623912811279,10,0.0789898931980133,23,0.0021810252219438553,0,0.0014858089853078127,0.5000170877763986
10,10,0.9389196038246155,2,0.03702661767601967,23,0.012547487393021584,0,0.008319396525621414,0.20001780293581997
2,2,0.9653491377830505,23,0.014027394354343414,32,0.008506909012794495,0,0.005693593993782997,0.5000314488802193
32,32,0.864016592502594,23,0.10306981950998306,36,0.010932260192930698,0,0.006889828480780125,0.5000538048373881
23,23,0.9838833212852478,0,0.005274560302495956,36,0.0045617143623530865,7,0.0027739000506699085,0.2001083496369655
7,36,0.5645032525062561,7,0.19395221769809723,0,0.12104538828134537,34,0.04584749415516853,0.40000180644960986
36,36,0.6833048462867737,0,0.10104189813137054,39,0.07589416205883026,34,0.07402891665697098,0.3000187531807383
39,0,0.3235105276107788,34,0.2607777714729309,39,0.20958325266838074,18,0.13037095963954926,0.40000279928318044
0,0,0.6322630643844604,18,0.15653447806835175,34,0.09404702484607697,33,0.06576302647590637,0.20063229962842255
34,18,0.3479151129722595,34,0.281978964805603,33,0.19351427257061005,27,0.1294364631175995,0.4000121504156297
18,18,0.34251347184181213,27,0.30263662338256836,33,0.28601381182670593,43,0.016957174986600876,0.500000312973542
33,33,0.5963677763938904,27,0.24546343088150024,1,0.0629802942276001,43,0.03881723806262016,0.5001109814840907
27,27,0.6263934969902039,1,0.1268334835767746,43,0.08249128609895706,49,0.06579682230949402,0.5000088672381443
49,49,0.29922035336494446,43,0.2007240355014801,1,0.12460868060588837,17,0.08722040057182312,0.5000404620046672
1,43,0.2372458279132843,22,0.20358723402023315,30,0.15068839490413666,1,0.14044734835624695,0.5000002398751684
43,30,0.2983972430229187,43,0.23166753351688385,22,0.17382101714611053,17,0.11043278872966766,0.5000001079986424
14,17,0.23620223999023438,24,0.22038769721984863,22,0.1754000037908554,14,0.13491417467594147,0.400001035996098
24,30,0.251575231552124,22,0.2484939992427826,17,0.18362385034561157,24,0.18154576420783997,0.4000115693964806
17,30,0.5524763464927673,22,0.2086159586906433,17,0.13442611694335938,41,0.10448155552148819,0.4000000539532892
22,30,0.845600962638855,22,0.09024643152952194,41,0.06415262818336487,2,0.0,0.4000073769728933
30,30,0.9427694082260132,41,0.05723061040043831,2,0.0,3,0.0,0.40000008495474104
41,41,1.0,1,0.0,2,0.0,3,0.0,0.5000005888188943
